date,city,gefs_spread
2026-03-12,Atlanta,0.41
2026-03-13,Atlanta,1.28
2026-03-14,Atlanta,0.75
2026-03-15,Atlanta,2.34
2026-03-16,Atlanta,0.56
2026-03-17,Atlanta,2.9
2026-03-18,Atlanta,3.48
2026-03-19,Atlanta,3.45
2026-03-20,Atlanta,2.44
2026-03-21,Atlanta,2.79
2026-03-22,Atlanta,6.16
2026-03-23,Atlanta,9.26
2026-03-12,Austin,0.97
2026-03-13,Austin,1.52
2026-03-14,Austin,1.33
2026-03-15,Austin,1.79
2026-03-16,Austin,1.02
2026-03-17,Austin,3.2
2026-03-18,Austin,3.44
2026-03-19,Austin,3.66
2026-03-20,Austin,3.45
2026-03-21,Austin,3.16
2026-03-22,Austin,3.5
2026-03-23,Austin,5.83
2026-03-12,Boston,1.19
2026-03-13,Boston,0.6
2026-03-14,Boston,0.61
2026-03-15,Boston,0.56
2026-03-16,Boston,1.63
2026-03-17,Boston,1.71
2026-03-18,Boston,3.41
2026-03-19,Boston,2.53
2026-03-20,Boston,5.13
2026-03-21,Boston,7.43
2026-03-22,Boston,7.52
2026-03-23,Boston,4.85
2026-03-12,Chicago,0.49
2026-03-13,Chicago,1.07
2026-03-14,Chicago,0.94
2026-03-15,Chicago,1.32
2026-03-16,Chicago,0.89
2026-03-17,Chicago,1.48
2026-03-18,Chicago,1.73
2026-03-19,Chicago,4.65
2026-03-20,Chicago,8.61
2026-03-21,Chicago,9.41
2026-03-22,Chicago,11.57
2026-03-23,Chicago,4.62
2026-03-12,Dallas,0.81
2026-03-13,Dallas,0.94
2026-03-14,Dallas,1.23
2026-03-15,Dallas,2.03
2026-03-16,Dallas,1.83
2026-03-17,Dallas,2.83
2026-03-18,Dallas,2.91
2026-03-19,Dallas,2.63
2026-03-20,Dallas,2.48
2026-03-21,Dallas,2.19
2026-03-22,Dallas,3.53
2026-03-23,Dallas,7.81
2026-03-12,Denver,0.29
2026-03-13,Denver,0.53
2026-03-14,Denver,0.67
2026-03-15,Denver,0.59
2026-03-16,Denver,1.51
2026-03-17,Denver,0.78
2026-03-18,Denver,1.59
2026-03-19,Denver,1.73
2026-03-20,Denver,1.37
2026-03-21,Denver,4.16
2026-03-22,Denver,8.06
2026-03-23,Denver,4.86
2026-03-12,Houston,0.83
2026-03-13,Houston,1.24
2026-03-14,Houston,0.94
2026-03-15,Houston,1.43
2026-03-16,Houston,0.65
2026-03-17,Houston,3.09
2026-03-18,Houston,2.93
2026-03-19,Houston,3.38
2026-03-20,Houston,2.75
2026-03-21,Houston,2.36
2026-03-22,Houston,2.93
2026-03-23,Houston,5.08
2026-03-12,Las Vegas,0.25
2026-03-13,Las Vegas,0.23
2026-03-14,Las Vegas,0.26
2026-03-15,Las Vegas,0.76
2026-03-16,Las Vegas,0.76
2026-03-17,Las Vegas,0.6
2026-03-18,Las Vegas,0.56
2026-03-19,Las Vegas,0.61
2026-03-20,Las Vegas,0.85
2026-03-21,Las Vegas,1.79
2026-03-22,Las Vegas,2.84
2026-03-23,Las Vegas,4.09
2026-03-12,Los Angeles,0.44
2026-03-13,Los Angeles,0.33
2026-03-14,Los Angeles,0.35
2026-03-15,Los Angeles,0.41
2026-03-16,Los Angeles,0.62
2026-03-17,Los Angeles,1.18
2026-03-18,Los Angeles,1.12
2026-03-19,Los Angeles,1.2
2026-03-20,Los Angeles,1.51
2026-03-21,Los Angeles,1.67
2026-03-22,Los Angeles,1.71
2026-03-23,Los Angeles,3.14
2026-03-12,Miami,0.31
2026-03-13,Miami,0.9
2026-03-14,Miami,0.3
2026-03-15,Miami,0.48
2026-03-16,Miami,1.17
2026-03-17,Miami,1.12
2026-03-18,Miami,3.16
2026-03-19,Miami,2.78
2026-03-20,Miami,2.62
2026-03-21,Miami,1.9
2026-03-22,Miami,2.93
2026-03-23,Miami,2.36
2026-03-12,Minneapolis,1.24
2026-03-13,Minneapolis,1.1
2026-03-14,Minneapolis,0.9
2026-03-15,Minneapolis,0.64
2026-03-16,Minneapolis,0.61
2026-03-17,Minneapolis,2.05
2026-03-18,Minneapolis,1.41
2026-03-19,Minneapolis,5.37
2026-03-20,Minneapolis,8.67
2026-03-21,Minneapolis,8.17
2026-03-22,Minneapolis,6.61
2026-03-23,Minneapolis,4.18
2026-03-12,New Orleans,0.51
2026-03-13,New Orleans,1.11
2026-03-14,New Orleans,1.17
2026-03-15,New Orleans,0.69
2026-03-16,New Orleans,1.17
2026-03-17,New Orleans,2.4
2026-03-18,New Orleans,2.52
2026-03-19,New Orleans,2.77
2026-03-20,New Orleans,2.83
2026-03-21,New Orleans,2.07
2026-03-22,New Orleans,2.35
2026-03-23,New Orleans,5.78
2026-03-12,New York,0.79
2026-03-13,New York,0.43
2026-03-14,New York,0.68
2026-03-15,New York,0.46
2026-03-16,New York,1.63
2026-03-17,New York,1.8
2026-03-18,New York,2.73
2026-03-19,New York,2.84
2026-03-20,New York,3.88
2026-03-21,New York,8.39
2026-03-22,New York,7.28
2026-03-23,New York,6.34
2026-03-12,Oklahoma City,0.65
2026-03-13,Oklahoma City,1.64
2026-03-14,Oklahoma City,1.16
2026-03-15,Oklahoma City,0.72
2026-03-16,Oklahoma City,2.62
2026-03-17,Oklahoma City,2.84
2026-03-18,Oklahoma City,2.89
2026-03-19,Oklahoma City,3.05
2026-03-20,Oklahoma City,2.92
2026-03-21,Oklahoma City,3.73
2026-03-22,Oklahoma City,8.73
2026-03-23,Oklahoma City,11.03
2026-03-12,Philadelphia,0.65
2026-03-13,Philadelphia,0.67
2026-03-14,Philadelphia,0.84
2026-03-15,Philadelphia,0.55
2026-03-16,Philadelphia,1.85
2026-03-17,Philadelphia,7.18
2026-03-18,Philadelphia,3.88
2026-03-19,Philadelphia,3.24
2026-03-20,Philadelphia,5.25
2026-03-21,Philadelphia,10.96
2026-03-22,Philadelphia,8.85
2026-03-23,Philadelphia,7.51
2026-03-12,Phoenix,0.33
2026-03-13,Phoenix,0.3
2026-03-14,Phoenix,0.54
2026-03-15,Phoenix,0.65
2026-03-16,Phoenix,0.93
2026-03-17,Phoenix,1.25
2026-03-18,Phoenix,1.22
2026-03-19,Phoenix,1.21
2026-03-20,Phoenix,1.37
2026-03-21,Phoenix,1.63
2026-03-22,Phoenix,3.05
2026-03-23,Phoenix,2.95
2026-03-12,San Antonio,0.8
2026-03-13,San Antonio,1.48
2026-03-14,San Antonio,1.39
2026-03-15,San Antonio,1.13
2026-03-16,San Antonio,1.37
2026-03-17,San Antonio,3.38
2026-03-18,San Antonio,3.79
2026-03-19,San Antonio,3.82
2026-03-20,San Antonio,3.26
2026-03-21,San Antonio,3.0
2026-03-22,San Antonio,3.99
2026-03-23,San Antonio,5.16
2026-03-12,San Francisco,0.34
2026-03-13,San Francisco,0.33
2026-03-14,San Francisco,0.46
2026-03-15,San Francisco,0.69
2026-03-16,San Francisco,0.52
2026-03-17,San Francisco,0.94
2026-03-18,San Francisco,1.45
2026-03-19,San Francisco,1.48
2026-03-20,San Francisco,2.95
2026-03-21,San Francisco,4.19
2026-03-22,San Francisco,2.98
2026-03-23,San Francisco,3.22
2026-03-12,Seattle,0.42
2026-03-13,Seattle,0.7
2026-03-14,Seattle,0.48
2026-03-15,Seattle,1.35
2026-03-16,Seattle,1.13
2026-03-17,Seattle,1.32
2026-03-18,Seattle,1.81
2026-03-19,Seattle,2.59
2026-03-20,Seattle,2.5
2026-03-21,Seattle,2.9
2026-03-22,Seattle,4.36
2026-03-23,Seattle,3.85
2026-03-12,Washington DC,0.6
2026-03-13,Washington DC,0.56
2026-03-14,Washington DC,1.23
2026-03-15,Washington DC,0.57
2026-03-16,Washington DC,1.1
2026-03-17,Washington DC,2.37
2026-03-18,Washington DC,3.47
2026-03-19,Washington DC,3.18
2026-03-20,Washington DC,5.96
2026-03-21,Washington DC,11.38
2026-03-22,Washington DC,9.68
2026-03-23,Washington DC,9.16
